file path,language
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F5_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F30_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F9_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F18_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F25_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F33_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F34_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F37_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F38_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F11_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/F/F20_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H1_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H30_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H9_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H28_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H3_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H13_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H15_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H26_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H22_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H24_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H31_mfcc_no_silence.txt,Russian
/content/drive/MyDrive/Projet/Langues/MFCC/Russian/Preprocessing/Test/H/H7_mfcc_no_silence.txt,Russian
